TIG_PostNL::Enabled,Enabled
TIG_PostNL::Method Name,Method Name
TIG_PostNL::Rate Type,Rate Type
TIG_PostNL::Price,Price
TIG_PostNL::Calculate Handling Fee,Calculate Handling Fee
TIG_PostNL::Handling Fee,Handling Fee
TIG_PostNL::Sort Order,Sort Order
TIG_PostNL::Title,Title
TIG_PostNL::Type,Type
TIG_PostNL::Ship to Applicable Countries,Ship to Applicable Countries
TIG_PostNL::Ship to Specific Countries,Ship to Specific Countries
TIG_PostNL::Show Method if Not Applicable,Show Method if Not Applicable
TIG_PostNL::Displayed Error Message,Displayed Error Message
TIG_PostNL::Condition,Condition
TIG_PostNL::Include Virtual Products in Price Calculation,Include Virtual Products in Price Calculation
TIG_PostNL::Version & Support,Version & Support
TIG_PostNL::Printer settings,Printer settings
TIG_PostNL::Active,Active
TIG_PostNL::Enable or disable the extension,Enable or disable the extension
TIG_PostNL::Email,Email
TIG_PostNL::During registration 2 secure keys will be sent to this email address.,During registration 2 secure keys will be sent to this email address.
TIG_PostNL::Unique key,Unique key
TIG_PostNL::Private key,Private key
TIG_PostNL::Account Settings,Account Settings
TIG_PostNL::Live Username,Live Username
TIG_PostNL::Live Password,Live Password
TIG_PostNL::Test Username,Test Username
TIG_PostNL::Test Password,Test Password
TIG_PostNL::Customer Number,Customer Number
TIG_PostNL::Customer Code,Customer Code
"TIG_PostNL::Your customer code as supplied by PostNL. Must contain between 3 and 4 letters. If you are a contract customer of PostNL, you will have received an email containing this setting. If you cannot find this email, please contact PostNL support at 058-2333343.","Your customer code as supplied by PostNL. Must contain between 3 and 4 letters. If you are a contract customer of PostNL, you will have received an email containing this setting. If you cannot find this email, please contact PostNL support at 058-2333343."
TIG_PostNL::BLS (location) Code,BLS (location) Code
"TIG_PostNL::The internal code of the nearest PostNL sorting centre. Must contain 6 numbers. If you are a contract customer of PostNL, you will have received an email containing this setting. If you cannot find this email, please contact PostNL support at 058-2333343","The internal code of the nearest PostNL sorting centre. Must contain 6 numbers. If you are a contract customer of PostNL, you will have received an email containing this setting. If you cannot find this email, please contact PostNL support at 058-2333343"
TIG_PostNL::These fields are only required if you intend to send products to countries outside the EU.,These fields are only required if you intend to send products to countries outside the EU.
TIG_PostNL::Global Barcode Type,Global Barcode Type
TIG_PostNL::The current global barcode type as supplied by PostNL. Must contain 2 letters.,The current global barcode type as supplied by PostNL. Must contain 2 letters.
TIG_PostNL::Global Barcode Range,Global Barcode Range
TIG_PostNL::Your global barcode range as supplied by PostNL. Must contain 4 digits.,Your global barcode range as supplied by PostNL. Must contain 4 digits.
TIG_PostNL::These fields are only required if you wish to use PostNL Checkout or Mijnpakket login.,These fields are only required if you wish to use PostNL Checkout or Mijnpakket login.
TIG_PostNL::Webshop ID,Webshop ID
TIG_PostNL::Public Webshop ID,Public Webshop ID
TIG_PostNL::These fields contain your contact information for PostNL.,These fields contain your contact information for PostNL.
TIG_PostNL::Company Name,Company Name
TIG_PostNL::Contact Name,Contact Name
TIG_PostNL::Contact Email,Contact Email
TIG_PostNL::Confirming & Label Printing Settings,Confirming & Label Printing Settings
TIG_PostNL::Mode,Mode
TIG_PostNL::Label size,Label size
TIG_PostNL::This setting only applies to multiple Dutch and EPS labels. GlobalPack labels are always printed as A4.,This setting only applies to multiple Dutch and EPS labels. GlobalPack labels are always printed as A4.
TIG_PostNL::Maximum weight per parcel,Maximum weight per parcel
TIG_PostNL::Determine the maximum weight per parcel. If an order is too heavy it will be automatically divided into several parcels. You will need to print a separate label for each parcel. This feature is only available for domestic shipments.,Determine the maximum weight per parcel. If an order is too heavy it will be automatically divided into several parcels. You will need to print a separate label for each parcel. This feature is only available for domestic shipments.
TIG_PostNL::Weight unit,Weight unit
TIG_PostNL::Select the unit in which you've entered products' weight,Select the unit in which you've entered products' weight
TIG_PostNL::Shipment reference type,Shipment reference type
TIG_PostNL::Select what to use as a shipment's reference. This will be printed on the shipping label,Select what to use as a shipment's reference. This will be printed on the shipping label
TIG_PostNL::Custom reference value,Custom reference value
