TIG_PostNL::Enabled,Activé
TIG_PostNL::Method Name,Nom de la méthode
TIG_PostNL::Rate Type,Modèle de tarifs
TIG_PostNL::Price,Prix
TIG_PostNL::Calculate Handling Fee,Mode de calcul des frais d'envoi
TIG_PostNL::Handling Fee,Coûts d'acheminement
TIG_PostNL::Sort Order,Tri commande
TIG_PostNL::Title,Titre
TIG_PostNL::Type,Modèle
TIG_PostNL::Ship to Applicable Countries,Envoi aux pays disponibles
TIG_PostNL::Ship to Specific Countries,Envoi aux pays spécifiques
TIG_PostNL::Show Method if Not Applicable,Afficher la méthode si indisponible
TIG_PostNL::Displayed Error Message,Message d'erreur affiché si indisponible
TIG_PostNL::Condition,Condition
TIG_PostNL::Include Virtual Products in Price Calculation,Reprendre les produits virtuels dans le calcul du prix
TIG_PostNL::Version & Support,Version & Assistance
TIG_PostNL::Printer settings,Paramètres de l'imprimante
TIG_PostNL::Active,Actif
TIG_PostNL::Enable or disable the extension,Activer/désactiver l'extension
TIG_PostNL::Email,Adresse électronique
TIG_PostNL::During registration 2 secure keys will be sent to this email address.,"Pendant l'enregistrement, 2 clés de sécurité seront envoyées à cette adresse électronique."
TIG_PostNL::Unique key,Clé unique
TIG_PostNL::Private key,Clé privée
TIG_PostNL::Account Settings,Paramètres du compte
TIG_PostNL::Live Username,Nom d’utilisateur live
TIG_PostNL::Live Password,Mot de passe live
TIG_PostNL::Test Username,Nom d’utilisateur test
TIG_PostNL::Test Password,Mot de passe test
TIG_PostNL::Customer Number,Numéro de client
TIG_PostNL::Customer Code,Code client
"TIG_PostNL::Your customer code as supplied by PostNL. Must contain between 3 and 4 letters. If you are a contract customer of PostNL, you will have received an email containing this setting. If you cannot find this email, please contact PostNL support at 058-2333343.","Votre numéro de client, tel que fourni par PostNL, doit compter 3 à 4 lettres. Si vous êtes un client contractuel de PostNL, vous avez reçu un e-mail avec ces informations. Si vous ne trouvez pas cet e-mail, prenez contact avec l'assistance PostNL au 058-2333343."
TIG_PostNL::BLS (location) Code,Code BLS (lieu)
"TIG_PostNL::The internal code of the nearest PostNL sorting centre. Must contain 6 numbers. If you are a contract customer of PostNL, you will have received an email containing this setting. If you cannot find this email, please contact PostNL support at 058-2333343","Le code interne du centre de tri PostNL le plus proche doit compter 6 chiffres. Si vous êtes un client contractuel de PostNL, vous avez reçu un e-mail avec ces informations. Si vous ne trouvez pas cet e-mail, prenez contact avec l'assistance PostNL au 058-2333343."
TIG_PostNL::These fields are only required if you intend to send products to countries outside the EU.,Ces champs ne sont obligatoires que si vous prévoyez d'expédier des produits en dehors de l'UE.
TIG_PostNL::Global Barcode Type,Modèle de code-barres global
TIG_PostNL::The current global barcode type as supplied by PostNL. Must contain 2 letters.,"Le modèle de code-barres actuel, tel que fourni par PostNL, doit se composer de 2 lettres."
TIG_PostNL::Global Barcode Range,Portée du code-barres global
TIG_PostNL::Your global barcode range as supplied by PostNL. Must contain 4 digits.,"La portée de votre code-barres global, tel que fourni par PostNL, doit se composer de 4 chiffres."
TIG_PostNL::These fields are only required if you wish to use PostNL Checkout or Mijnpakket login.,Ces champs ne sont obligatoires que si vous souhaitez utiliser PostNL Checkout ou Mijnpakket login.
TIG_PostNL::Webshop ID,Identifiant webshop
TIG_PostNL::Public Webshop ID,Identifiant webshop public
TIG_PostNL::These fields contain your contact information for PostNL.,Ces champs contiennent vos coordonnées pour PostNL
TIG_PostNL::Company Name,Nom d'entreprise
TIG_PostNL::Contact Name,Personne de contact :
TIG_PostNL::Contact Email,Adresse électronique de contact
TIG_PostNL::Confirming & Label Printing Settings,Paramètres Annonce & Impression d'étiquette
TIG_PostNL::Mode,Mode
TIG_PostNL::Label size,Format de l'étiquette
TIG_PostNL::This setting only applies to multiple Dutch and EPS labels. GlobalPack labels are always printed as A4.,Ce réglage est applicable pour les étiquettes européennes et néerlandaises. Les étiquettes destinées à sortir de l'UE sont toujours imprimées au format A4.
TIG_PostNL::Maximum weight per parcel,Poids maximum par colis.
TIG_PostNL::Determine the maximum weight per parcel. If an order is too heavy it will be automatically divided into several parcels. You will need to print a separate label for each parcel. This feature is only available for domestic shipments.,"Déterminez le poids maximum par colis. Si le poids est trop élevé, la commande est automatiquement répartie en plusieurs colis qui doivent être envoyés séparément avec une étiquette distincte. Cette fonctionnalité est valable uniquement pour les commandes au sein de Pays-Bas."
TIG_PostNL::Weight unit,Unité de poids
TIG_PostNL::Select the unit in which you've entered products' weight,Sélectionnez l'unité que vous avez indiquée à côté du poids du produit.
TIG_PostNL::Shipment reference type,Modèle de référence d'envoi
TIG_PostNL::Select what to use as a shipment's reference. This will be printed on the shipping label,Sélectionnez la référence de l'envoi. Elle est imprimée sur l'étiquette.
TIG_PostNL::Custom reference value,Valeur de référence alternative.
"TIG_PostNL::If you are a contract customer of PostNL, you will have received an email containing this setting. If you cannot find this email, please contact PostNL support at 058-2333343.","Si vous êtes un client contractuel de PostNL, vous avez reçu un e-mail avec ces informations. Si vous ne trouvez pas cet e-mail, prenez contact avec l'assistance PostNL au 058-2333343."
TIG_PostNL::From this menu you can add columns containing PostNL specific information to the orders and shipments grid. Here you can also define default values for actions.,Vous pouvez agrémenter l'aperçu des commandes et des envois avec des colonnes supplémentaires reprenant des informations spécifiques pour les envois PostNL. Vous pouvez aussi sélectionner des valeurs standard pour les actions.
TIG_PostNL::Show product options in order grid,Afficher les options de produit dans l'aperçu des commandes
TIG_PostNL::Activate to show a drop down menu in the order grid containing the product options alongside the bulk action drop down menu. Deactivate to use the default values.,Activer pour pourvoir sélectionner « afficher les autres options de produit » dans l'aperçu des commandes, à côté du menu déroulant des actions. Désactiver pour toujours utiliser les valeurs standard.
TIG_PostNL::Optional shipment grid columns,Colonnes optionnelles pour l'aperçu des envois
TIG_PostNL::Select a default option for the shipment grid mass action.,Sélectionnez une valeur standard pour l'action de masse pour l'aperçu des envois
